grid_key,line,sta,lon,lat,shore,bathy_m,line_dist_km
st55-ln76.7,76.7,55,-121.20110957658606,34.89284144443181,nearshore,563.7,56.607
st60-ln76.7,76.7,60,-121.63868959774268,34.68462923853864,nearshore,961.9,102.841
st70-ln76.7,76.7,70,-122.2494362843837,34.39312808811604,offshore,4026.1,167.567
st80-ln76.7,76.7,80,-122.94451852913978,34.05979058196738,offshore,4241.6,241.525
st90-ln76.7,76.7,90,-123.63684739927075,33.72645310099064,offshore,4235.2,315.482
st100-ln76.7,76.7,100,-124.32646779727048,33.39311564196886,offshore,4559.8,389.436
st45-ln80,80,45,-120.0401550997966,34.392498244693364,nearshore,186.4,0
st50-ln80,80,50,-120.45145103082963,34.40256035900618,nearshore,95.1,37.796
st55-ln80,80,55,-120.80223777468474,34.3169239582469,nearshore,800.8,71.411
st60-ln80,80,60,-121.23677365485771,34.108709050721,nearshore,2810.1,117.643
st70-ln80,80,70,-121.84331070773645,33.81720419952696,offshore,3637.8,182.366
st80-ln80,80,80,-122.5336635853295,33.483866617136194,offshore,3992.5,256.321
st90-ln80,80,90,-123.22134022471685,33.150529058953424,offshore,4241.7,330.274
st100-ln80,80,100,-123.90638432993075,32.817191521958826,offshore,4387.2,404.225
st110-ln80_hist,80,110,-125.24417459391313,32.285494054768535,offshore,4360.2,543.005
st140-ln80_hist,80,140,-126.62098493252664,31.486273106043978,offshore,3623,700.646
st160-ln80_hist,80,160,-127.96385442590889,30.81958574263981,offshore,,848.543
st180-ln80_hist,80,180,-129.2973455853926,30.152896966878618,offshore,,996.432
st200-ln80_hist,80,200,-130.6217665616849,29.48620667851482,offshore,,1144.314
st35-ln83.3,83.3,35,-118.99430970374254,34.05359586609454,nearshore,28.2,0
st40-ln83.3,83.3,40,-119.3665607557836,34.145523514901804,nearshore,119.9,35.807
st45-ln83.3,83.3,45,-119.70994871778568,34.077334108721786,nearshore,91.2,68.354
st50-ln83.3,83.3,50,-120.0533736898311,33.901245833771426,nearshore,26.1,105.623
st55-ln83.3,83.3,55,-120.40606663811907,33.73937228450802,nearshore,954.8,142.888
st60-ln83.3,83.3,60,-120.8376066088916,33.53279892215393,nearshore,3510.7,189.023
st70-ln83.3,83.3,70,-121.44005276579561,33.24129051518121,offshore,3802.4,253.743
st80-ln83.3,83.3,80,-122.12580977985888,32.90795296113228,offshore,4189.2,327.694
st90-ln83.3,83.3,90,-122.80896563973913,32.574615426624824,offshore,4249.4,401.644
st100-ln83.3,83.3,100,-123.4895629020462,32.24127790876763,offshore,4176.5,475.591
st110-ln83.3,83.3,110,-124.16756252277263,31.90782911324637,offshore,4223.5,549.537
st30-ln86.7,86.7,30,-118.20706391983443,33.7011042218399,nearshore,23.2,0
st35-ln86.7,86.7,35,-118.61881772252616,33.783961783582114,nearshore,854.7,39.215
st40-ln86.7,86.7,40,-118.97683972795326,33.66077361599006,nearshore,780.6,75.088
st45-ln86.7,86.7,45,-119.32172390737767,33.49410703927506,nearshore,1653.6,112.066
st50-ln86.7,86.7,50,-119.66951953278173,33.329239079156686,nearshore,80.1,149.231
st55-ln86.7,86.7,55,-120.00948955218196,33.160773855857684,nearshore,1190.2,186.021
st60-ln86.7,86.7,60,-120.43817007571685,32.95255374269286,nearshore,1695.1,232.248
st70-ln86.7,86.7,70,-121.03661014608738,32.66104175539838,offshore,3781.5,296.965
st80-ln86.7,86.7,80,-121.71786669432045,32.32770417869944,offshore,4031.7,370.913
st90-ln86.7,86.7,90,-122.39659575078845,31.99436661898374,offshore,4132.1,444.859
st100-ln86.7,86.7,100,-123.07283876511778,31.661029073517206,offshore,4134.2,518.803
st110-ln86.7,86.7,110,-123.74663657237643,31.327691539645887,offshore,3989.7,592.746
st25-ln90,90,25,-117.57012970408297,33.326583626393074,nearshore,38.7,0
st30-ln90,90,30,-117.90487223170837,33.38492407136274,nearshore,595.6,31.795
st35-ln90,90,35,-118.23486049834615,33.24120189876421,nearshore,577.8,66.412
st40-ln90,90,40,-118.59891825816341,33.095783423213156,nearshore,1202.4,104
st45-ln90,90,45,-118.93522177064689,32.918190226703906,nearshore,1699.6,141.101
st50-ln90,90,50,-119.27716513658518,32.75152356678525,nearshore,320.9,178.076
st55-ln90,90,55,-119.6184632244223,32.58485689710278,nearshore,1008.1,215.051
st60-ln90,90,60,-120.04434902961614,32.37663420091362,nearshore,1522.5,261.276
st70-ln90,90,70,-120.63892459004875,32.08511867103346,offshore,3834.1,325.989
st80-ln90,90,80,-121.3158398734723,31.751781032952955,offshore,3688.7,399.934
st90-ln90,90,90,-121.99029888992435,31.418443411395945,offshore,3896.1,473.877
st100-ln90,90,100,-122.66234203670895,31.085105803795244,offshore,4011.4,547.818
st110-ln90,90,110,-123.33200912233906,30.751768207660344,offshore,4024.5,621.757
st120-ln90_hist,90,120,-124.46560369802502,30.500893096547593,offshore,4223.4,733.879
